drink_name,is_alcoholic,category,glassType,drink_ingredients,drink_instructions,ingredientMeasures
Penicillin,Alcoholic,Cocktail,Old-fashioned glass,"Blended Scotch, Lemon Juice, Honey syrup, Ginger Syrup, Islay single malt Scotch","Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.","['2 oz', '3/4 oz', '2 tsp', '2 tsp', '1/4 oz']"
Pisco Sour,Alcoholic,Cocktail,Cocktail glass,"Pisco, Lemon juice, Sugar, Ice, Egg White","Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.
","['2 oz ', '1 oz ', '1-2 tblsp ', '1', None]"
Porto flip,Alcoholic,Ordinary Drink,Cocktail glass,"Brandy, Port, Egg Yolk","Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.","['3 parts', '9 parts', '2 parts']"
Pina Colada,Alcoholic,Ordinary Drink,Collins glass,"Light rum, Coconut milk, Pineapple","Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.","['3 oz ', '3 tblsp ', '3 tblsp ']"
Pink Penocha,Alcoholic,Punch / Party Drink,Punch bowl,"Everclear, Vodka, Peach schnapps, Orange juice, Cranberry juice",mix all ingredients into bowl keep iced stir frequently,"['750 ml ', '1750 ml ', '1750 ml ', '1 gal ', '1 gal ']"
Pure Passion,Alcoholic,Cocktail,Whiskey sour glass,"Rum, Passoa, Lime Juice, Passion fruit syrup, Peach Bitters, Mint",Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.,"['40 ml', '20 ml', '30 ml', '15 ml', 'Dash', 'Garnish with']"
Popped cherry,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Cherry liqueur, Cranberry juice, Orange juice",Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,"['2 oz ', '2 oz ', '4 oz ', '4 oz ']"
Poppy Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Creme de Cacao","Shake ingredients with ice, strain into a cocktail glass, and serve.","['1 1/2 oz ', '3/4 oz white ']"
Port Wine Flip,Alcoholic,Ordinary Drink,Whiskey sour glass,"Port, Light cream, Powdered sugar, Egg, Nutmeg",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,"['1 1/2 oz ', '2 tsp ', '1 tsp ', '1 whole ', None]"
Planter's Punch,Alcoholic,Punch / Party Drink,Collins glass,"Dark rum, Orgeat syrup, Orange juice, Pineapple juice","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.","['1 part ', '1/2 part ', '2 parts ', '1 part ']"
Pineapple Paloma,Alcoholic,Cocktail,Collins glass,"Tequila, Grapefruit Juice, Fresh Lime Juice, Pineapple Juice, Lime, Pepper","Rub the rim of each glass with lime slice and dip into salt.
Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.
Give it a quick stir.
Garnish with fresh pineapple or lime.","['4 oz', '4 oz', '1 oz', '8 oz', 'Garnish with', 'Rimmed']"
Pornstar Martini,Alcoholic,Cocktail,Cocktail glass,"Vodka, Passoa, Passion fruit juice, Lime, Prosecco",Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.,"['3 cl', '3 cl', '1 cl', '1 cl', '1 shot']"
Planter’s Punch,Alcoholic,Cocktail,Highball glass,"Dark Rum, Orange Juice, Pineapple Juice, Grenadine, Sugar Syrup, Angostura Bitters",Squeeze an orange and strain the juice. Put all the ingredients in a shaker filled with ice and shake for at least 12 seconds. Strain into a highball glass and decorate with a pineapple wedge or fruit of your choice.,"['4.5 cL', '3 cl', '3.5 cl', '1 cl', '1 cl', '4 drops']"
Port And Starboard,Alcoholic,Ordinary Drink,Pousse cafe glass,"Grenadine, Green Creme de Menthe","Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.","['1 tblsp ', '1/2 oz ']"
Port Wine Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Port, Brandy","Stir ingredients with ice, strain into a cocktail glass, and serve.","['2 1/2 oz ', '1/2 tsp ']"
Pysch Vitamin Light,Non alcoholic,Ordinary Drink,Collins Glass,"Orange juice, Apple juice, Pineapple juice, Ice",Shake with ice.,"['1 part ', '1 part ', '1 part ', None]"
Pink Panty Pulldowns,Alcoholic,Ordinary Drink,Collins Glass,"Sprite, Pink lemonade, Vodka",Shake well,"['1 L ', '2 cups ', '2 cups ']"
Passion Fruit Martini,Alcoholic,Cocktail,Cocktail glass,"Vodka, Sugar Syrup, Passion fruit juice",Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,"['1 shot', '1/2 shot', 'Full Glass']"
Pineapple Gingerale Smoothie,Non alcoholic,Other / Unknown,Highball Glass,"Ginger, Pineapple",Throw everything into a blender and liquify.,"['1/4 inch ', '1/2 ']"
Quentin,Alcoholic,Ordinary Drink,Cocktail glass,"Dark rum, Kahlua, Light cream, Nutmeg","In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.","['1 1/2 oz ', '1/2 oz ', '1 oz ', '1/8 tsp grated ']"
Queen Bee,Alcoholic,Ordinary Drink,Cocktail glass,"Coffee brandy, Lime vodka, Sherry","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 oz ', '1 1/2 oz ', '1/2 oz cream ']"
Quick F**K,Alcoholic,Shot,Shot glass,"Kahlua, Midori melon liqueur, Baileys irish cream","In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream","['1 part ', '1 part ', '1 part ']"
Quick-sand,Alcoholic,Ordinary Drink,Highball glass,"Black Sambuca, Orange juice","Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!","['25 ml ', 'Add 250 ml ']"
Queen Charlotte,Alcoholic,Ordinary Drink,Collins glass,"Red wine, Grenadine, Lemon-lime soda","Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.","['2 oz ', '1 oz ', None]"
Queen Elizabeth,Alcoholic,Ordinary Drink,Cocktail glass,"Dry Vermouth, Gin, Benedictine","Stir all ingredients with ice, strain into a cocktail glass, and serve.","['1/2 oz ', '1 1/2 oz ', '1 1/2 tsp ']"
Quaker's Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Light rum, Brandy, Lemon, Raspberry syrup","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['3/4 oz ', '3/4 oz ', 'Juice of 1/4 ', '2 tsp ']"
Quarter Deck Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Light rum, Sherry, Lime","Stir all ingredients with ice, strain into a cocktail glass, and serve.","['1 1/2 ', '1/3 oz cream ', 'Juice of 1/2 ']"
Rose,Alcoholic,Ordinary Drink,Cocktail glass,"Dry Vermouth, Gin, Apricot brandy, Lemon juice, Grenadine, Powdered sugar","Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.","['1/2 oz ', '1 oz ', '1/2 oz ', '1/2 tsp ', '1 tsp ', None]"
Radler,Alcoholic,Ordinary Drink,Highball glass,"Beer, 7-Up","Pour beer into large mug, slowly add the 7-up (or Sprite).","['12 oz ', '12 oz ']"
Rum Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Light rum, Lemon juice, Sugar, Orange, Maraschino cherry","In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1 ', '1 ']"
Rum Punch,Alcoholic,Punch / Party Drink,Punch bowl,"Rum, Ginger ale, Fruit punch, Orange juice, Ice",Mix all ingredients in a punch bowl and serve.,"['mikey bottle ', 'large bottle ', '355 ml frozen ', '355 ml frozen ', 'crushed ']"
Rum Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,"Rum, Powdered sugar, Lemon peel, Water",Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,"['2 oz light or dark ', '2 tsp ', '1 twist of ', '2 tsp ']"
Royal Fizz,Alcoholic,Ordinary Drink,Collins glass,"Gin, Sweet and sour, Egg, Coca-Cola",Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,"['1 oz ', '2 oz ', '1 whole ', None]"
Rum Cooler,Alcoholic,Ordinary Drink,Collins glass,"Rum, Lemon-lime soda, Lemon",Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,"['2 oz light or dark ', '4 oz ', '1 ']"
Rum Runner,Alcoholic,Punch / Party Drink,Cocktail glass,"Malibu rum, Blackberry brandy, Orange juice, Pineapple juice, Cranberry juice",Mix all ingredients in glass & add ice.,"['1 1/2 oz ', '1 oz ', '3-4 oz ', '3-4 oz ', '3-4 oz ']"
Rusty Nail,Alcoholic,Ordinary Drink,Old-fashioned glass,"Scotch, Drambuie, Lemon peel",Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,"['1 1/2 oz ', '1/2 oz ', '1 twist of ']"
Red Snapper,Alcoholic,Shot,Old-fashioned glass,"Crown Royal, Amaretto, Cranberry juice","One shot each, shake n shoot","['1 shot ', '1 shot ', '1 shot ']"
Royal Bitch,Alcoholic,Shot,Shot glass,"Frangelico, Crown Royal",Into a shot glass layer the Crown Royal on top of the Frangelico.,"['1 part ', '1 part ']"
Royal Flush,Alcoholic,Shot,Old-fashioned glass,"Crown Royal, Peach schnapps, Chambord raspberry liqueur, Cranberry juice",Pour all the ingredients into tumbler over ice. Strain into glass.,"['1 1/2 oz ', '1 oz ', '1/2 oz ', '1 oz ']"
Rum Cobbler,Alcoholic,Ordinary Drink,Old-fashioned glass,"Sugar, Club soda, Lemon, Dark rum, Maraschino cherry, Orange","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.","['1 tsp superfine ', '3 oz ', '1 ', '2 oz ', '1 ', '1 ']"
Ruby Tuesday,Alcoholic,Cocktail,Highball glass,"Gin, Cranberry juice, Grenadine",Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,"['2 oz ', '5 oz ', '2 splashes ']"
Rail Splitter,Non alcoholic,Cocktail,Highball glass,"Sugar syrup, Lemon juice, Ginger ale",Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,"['2 tsp ', None, None]"
Rosemary Blue,Alcoholic,Cocktail,Balloon Glass,"Gin, Blue Curacao, Tonic Water, Rosemary","1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.","['50 ml', '15 ml', '100 ml', 'Garnish with']"
Ramos Gin Fizz,Alcoholic,Cocktail,Highball glass,"Gin, Lemon Juice, Sugar Syrup, Cream, Egg White, Vanilla extract, Soda Water","Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.

Pour all the ingredients into a shaker.

Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.

Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.

Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost.","['4.5 cL', '3 cl', '3 cl', '6 cl', '1', '2 drop', '2 cl']"
Royal Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,"Gin, Lemon, Powdered sugar, Egg, Carbonated water","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 whole ', None]"
Rum Milk Punch,Alcoholic,Ordinary Drink,Collins glass,"Light rum, Milk, Powdered sugar, Nutmeg",Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,"['2 oz ', '1 cup ', '1 tsp ', None]"
Raspberry Julep,Alcoholic,Cocktail,Cordial glass,"Bourbon, Raspberry syrup, Mint","Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.","['2 oz', '1/2 oz', '8']"
Rum Screwdriver,Alcoholic,Ordinary Drink,Highball glass,"Light rum, Orange juice","Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.","['1 1/2 oz ', '5 oz ']"
Raspberry Cooler,Alcoholic,Other / Unknown,Highball glass,"Raspberry vodka, Lemon-lime soda, Ice",Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,"['2 oz ', '4 oz ', None]"
Rum Old-fashioned,Alcoholic,Ordinary Drink,Old-fashioned glass,"Light rum, 151 proof rum, Powdered sugar, Bitters, Water, Lime peel","Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.","['1 1/2 oz ', '1 tsp ', '1/2 tsp ', '1 dash ', '1 tsp ', 'Twist of ']"
Russian Spring Punch,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Creme de Cassis, Sugar Syrup, Lemon Juice","Pour the ingredients into an highball glass, top with Sparkling wine.","['2.5 cl', '1.5 cl', '1 cl', '2.5 cl']"
Radioactive Long Island Iced Tea,Alcoholic,Ordinary Drink,Collins Glass,"Rum, Vodka, Tequila, Gin, Triple sec, Chambord raspberry liqueur, Midori melon liqueur, Malibu rum",Pour all ingredients over ice in a very tall glass. Sip cautiously.,"['1 oz ', '1 oz ', '1 oz ', '1 oz ', '1 oz ', '1 oz ', '1 oz ', '1 oz ']"
Smut,Alcoholic,Punch / Party Drink,Beer mug,"Red wine, Peach schnapps, Pepsi Cola, Orange juice",Throw it all together and serve real cold.,"['1/3 part ', '1 shot ', '1/3 part ', '1/3 part ']"
Spritz,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Prosecco, Campari, Soda Water","Build into glass over ice, garnish and serve.","['6 cl', '4 cl', 'splash']"
Scooter,Alcoholic,Ordinary Drink,Cocktail glass,"Brandy, Amaretto, Light cream","Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","['1 oz ', '1 oz ', '1 oz ']"
Sangria,Alcoholic,Punch / Party Drink,Pitcher,"Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon",Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,"['1 bottle ', '1/2 cup ', '1 cup ', '1 cup ', None, None]"
Stinger,Alcoholic,Ordinary Drink,Cocktail glass,"Brandy, White Creme de Menthe","Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","['1 1/2 oz ', '1/2 oz ']"
Sazerac,Alcoholic,Ordinary Drink,Old-fashioned glass,"Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","['1 tsp ', '1/2 tsp superfine ', '2 dashes ', '1 tsp ', '2 oz ', '1 twist of ']"
Sidecar,Alcoholic,Ordinary Drink,Cocktail glass,"Cognac, Cointreau, Lemon juice",Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,"['2 oz ', '1/2 oz ', '1 oz ']"
Snowday,Alcoholic,Cocktail,Collins glass,"Vodka, Amaro Montenegro, Ruby Port, Blood Orange, Angostura Bitters, Orange Peel",Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.,"['1 oz', '1 oz', '1 oz', '1 tsp', 'Dash', 'Garnish with']"
Spice 75,Alcoholic,Cocktail,Wine Glass,"Sugar, Allspice, Rum, Lime Juice, Champagne, Orange spiral","Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.","['60 ml', '1 tblsp', '20 cl', '90 ml', '6 cl', 'Garnish with']"
Snowball,Alcoholic,Ordinary Drink,Highball glass,"Advocaat, Lemonade, Lemon, Ice",Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,"['1 1/2 oz ', '8-10 oz cold ', '1 slice ', 'cubes']"
Shot-gun,Alcoholic,Shot,Shot glass,"Jim Beam, Jack Daniels, Wild Turkey",Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,"['1 part ', '1 part ', '1 oz ']"
Salty Dog,Alcoholic,Ordinary Drink,Highball glass,"Grapefruit juice, Gin, Salt","Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)","['5 oz ', '1 1/2 oz ', '1/4 tsp ']"
Stone Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Apricot brandy, Orange juice, Sweet and sour","Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.","['1 oz ', '1 oz ', '1 oz ']"
Sea breeze,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Cranberry juice, Grapefruit juice",Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,"['1 1/2 oz ', '4 oz ', '1 oz ']"
Scotch Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Scotch, Lime, Powdered sugar, Lemon, Cherry","Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.","['1 1/2 oz ', 'Juice of 1/2 ', '1/2 tsp ', '1/2 slice ', '1 ']"
Sweet Tooth,Alcoholic,Shake,Highball Glass,"Godiva liqueur, Milk","Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.","['2 shots ', None]"
Screwdriver,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Orange juice",Mix in a highball glass with ice. Garnish and serve.,"['2 oz ', None]"
Sherry Flip,Alcoholic,Ordinary Drink,Nick and Nora Glass,"Sherry, Light cream, Powdered sugar, Egg, Nutmeg",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,"['1 1/2 oz cream ', '2 tsp ', '1 tsp ', '1 whole ', None]"
Sol Y Sombra,Alcoholic,Ordinary Drink,Brandy snifter,"Brandy, Anisette","Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)","['1 1/2 oz ', '1 1/2 oz ']"
Shark Attack,Alcoholic,Cocktail,Pitcher,"Lemonade, Water, Vodka",Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,"['1 can ', '3 cans ', '1 1/2 cup ']"
San Francisco,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Creme de Banane, Grenadine, Orange juice","Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.","['2 cl ', '2 cl ', None, None]"
Space Odyssey,Alcoholic,Ordinary Drink,Highball glass,"151 proof rum, Malibu rum, Pineapple juice, Orange juice, Grenadine, Cherries",Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,"['1 shot Bacardi ', '1 shot ', '1 shot ', None, None, None]"
Sherry Eggnog,Alcoholic,Ordinary Drink,Collins glass,"Sherry, Powdered sugar, Egg, Milk, Nutmeg","Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.","['2 oz cream ', '1 tsp ', '1 whole ', None, None]"
Sweet Bananas,Non alcoholic,Shake,Highball Glass,"Milk, Banana, Honey","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","['2 cups ', '1 ', '1 tblsp ']"
Sweet Sangria,Alcoholic,Punch / Party Drink,Pitcher,"Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca","Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.","['2 bottles ', '1 cup ', '2 cups hot ', '1 cup', ' wedges\n', ' wedges\n', None, None]"
Thriller,Alcoholic,Ordinary Drink,Cocktail glass,"Scotch, Wine, Orange juice","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['1 1/2 oz ', '1 oz Green Ginger ', '1 oz ']"
The Galah,Alcoholic,Cocktail,Collins glass,"Dark Rum, Campari, Creme De Banane, Pineapple Juice, Lime Juice",Mix together the alcoholic portions and top with Pineapple and Lime juice.,"['1 shot', '1 shot', '1/2 shot', 'Top', 'Top']"
Tia-Maria,Alcoholic,Homemade Liqueur,Collins Glass,"Water, Brown sugar, Coffee, Rum, Vanilla extract","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.","['1 cup ', '3/4-1 cup ', '4 tsp ', '1 cup ', '4 tsp ']"
Tipperary,Alcoholic,Cocktail,Nick and Nora Glass,"Irish Whiskey, Sweet Vermouth, Green Chartreuse","Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.","['2 oz', '1 oz', '1/2 oz']"
Turkeyball,Alcoholic,Shot,Shot glass,"Wild Turkey, Amaretto, Pineapple juice",Shake with ice and strain into a shot glass.,"['1 oz ', '3/4 oz ', '1 splash ']"
Texas Sling,Alcoholic,Shake,Wine Glass,"Kahlua, Irish cream, Amaretto, 151 proof rum, Cream","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ', '1 oz ']"
Thai Coffee,Non alcoholic,Coffee / Tea,Highball glass,"Coffee, Coriander, Cardamom, Sugar, Whipping cream, Ice","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.","['6 tblsp ground', '1/4 tsp ', '4-5 whole green ', None, None, None]"
Tom Collins,Alcoholic,Ordinary Drink,Collins glass,"Gin, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.","['2 oz ', '1 oz ', '1 tsp superfine ', '3 oz ', '1 ', '1 ']"
Tomato Tang,Non alcoholic,Other / Unknown,Highball glass,"Tomato juice, Lemon juice, Celery salt","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","['2 cups ', '1-2 tblsp ', '1 dash ']"
Talos Coffee,Alcoholic,Coffee / Tea,Brandy snifter,"Grand Marnier, Coffee",Add your GM and then add your coffee.,"['3 parts ', '1 part ']"
Tennesee Mud,Alcoholic,Coffee / Tea,Coffee Mug,"Coffee, Jack Daniels, Amaretto, Whipped cream","Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.","['8 oz ', '4 oz ', '4 oz ', None]"
Tequila Fizz,Alcoholic,Ordinary Drink,Collins glass,"Tequila, Lemon juice, Grenadine, Egg white, Ginger ale","Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.","['2 oz ', '1 tblsp ', '3/4 oz ', '1 ', None]"
Tequila Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Tequila, Lemon, Powdered sugar, Lemon, Cherry","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1/2 slice ', '1 ']"
Thai Iced Tea,Non alcoholic,Coffee / Tea,Highball glass,"Tea, Water, Condensed milk, Ice, Mint","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.","['1/4 cup Thai ', '1/2 cup boiling ', '2 tsp sweetened ', 'cubes', 'garnish']"
The Last Word,Alcoholic,Cocktail,Cocktail glass,"Green Chartreuse, Maraschino Liqueur, Lime Juice, Gin",Shake with ice and strain into a cocktail glass.,"['1 oz', '1 oz', '1 oz', '1 oz']"
Turf Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Dry Vermouth, Gin, Anis, Bitters, Orange peel",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,"['1 oz ', '1 oz ', '1/4 tsp ', '2 dashes ', 'Twist of ']"
The Laverstoke,Alcoholic,Cocktail,Balloon Glass,"Gin, Elderflower cordial, Rosso Vermouth, Tonic Water, Lime, Ginger, Mint","1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.","['50 ml', '15 ml', '15 ml', '75 ml', '2 Wedges', '1 Slice', '1 Large Sprig']"
Tequila Slammer,Alcoholic,Shot,Hurricane glass,"Tequila, 7-up",Mix carefully to avoid releasing the dissolved CO2.,"['1 shot', '1 part']"
Tequila Sunrise,Alcoholic,Cocktail,Highball glass,"Tequila, Orange juice, Grenadine","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.","['2 measures ', None, None]"
The Philosopher,Alcoholic,Cocktail,Margarita glass,"Gin, Melon Liqueur, Orange Bitters, Lemon Juice, Prosecco","Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice. Strain into a Margarita glass, top with Prosecco.","['1 shot', '1 shot', '1 dash', '1 dash', 'Top']"
Tuxedo Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Dry Vermouth, Gin, Maraschino liqueur, Anis, Orange bitters, Cherry",Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,"['1 1/2 oz ', '1 1/2 oz ', '1/4 tsp ', '1/4 tsp ', '2 dashes ', '1 ']"
Tequila Surprise,Alcoholic,Shot,Shot glass,"Tequila, Tabasco sauce",Fill shot glass with Tequila. Add drops of Tobasco sauce.,"['full glass ', 'About 8 drops ']"
